report_date,service,program,base_year,baseline_type,prime_contractor,secondary_contractor,platform_portfolio,cohort,merger_exposure,treatment_rule,baseline_pauc_total,baseline_pauc_qty,baseline_pauc_est,current_pauc_total,current_pauc_qty,current_pauc_est,baseline_apuc_total,baseline_apuc_qty,baseline_apuc_est,current_apuc_total,current_apuc_qty,current_apuc_est
2019-12-31,Navy,AARGM-ER,2019,DE,Alliant TechSystems (ATK),,Ordnance and Missiles,2019,Northrop-Orbital ATK,prime-ATK,3442.1,2097,1.641,3420.4,2097,1.631,2693.5,2080,1.295,2690.8,2080,1.294
2019-12-31,Navy ,Advanced Arresting Gear,2016,DE,General Atomics,,Other Products,0,,,1994.1,3,664.7,2362.3,4,590.581,778.7,3,259.567,995,4,248.738
2019-12-31,Navy,ACV 1.1,2014,DE,BAE Systems,,Land Vehicles,0,,,1826.9,240,7.612,4256.1,682,6.241,1015.5,204,4.978,3152.1,636,4.956
2019-12-31,Navy,AGM-88E AARGM,2003,PdE,Alliant TechSystems (ATK),,Ordnance and Missiles,2019,Northrop-Orbital ATK,prime-ATK,1339.8,1790,0.748,1795.3,1843,0.974,806.5,1750,0.461,1122.2,1803,0.622
2019-12-31,Navy ,AIM-9X Block II,2011,DE,Raytheon,Alliant TechSystems (ATK),Ordnance and Missiles,2019,Northrop-Orbital ATK,sub-ATK,3967.3,6000,0.661,5353,11635,0.46,3798.5,6000,0.633,4739,11635,0.407
2019-12-31,Navy,AMDR,2013,DE,Raytheon,,Air and Missile Defense,2021,Raytheon-UTC,prime-Raytheon,5735.7,22,260.714,5247.4,20,262.37,3846.9,22,174.859,3250.4,20,162.52
2019-12-31,Navy,CEC,2002,PdE,Raytheon,,"Electronics, Comms, and Sensors",2021,Raytheon-UTC,prime-Raytheon,2443.4,183,13.352,5483.8,358,15.318,1262.8,174,7.257,2137.4,328,6.516
2019-12-31,Navy,CH-53K,2006,PdE,Sikorsky,,Aircraft,2016,Lockheed-Sikorsky,prime-Sikorsky,14980.9,156,96.031,24824.8,200,124.124,11018.9,152,72.493,17905.6,196,91.355
2019-12-31,Navy,CVN 78 - CVN 78,2000,DE,Newport News,,Ships and Submarines,0,,,28701.2,3,9567.067,31954.3,4,7988.575,24825.9,3,8275.3,28087.4,4,7021.85
2019-12-31,Navy,CVN 78 - EMALS,2000,DE,General Atomics,,Ships and Submarines,0,,,2263.4,3,754.467,2257,4,564.25,1593.4,3,531.133,1402.6,4,350.65
2019-12-31,Navy,DDG 1000,2005,DE,General Dynamics,Raytheon,Ships and Submarines,2021,Raytheon-UTC,sub-Raytheon,19189.3,3,6396.433,20344,3,6781.333,10195.3,3,3398.433,11001.9,3,3667.3
2019-12-31,Navy,DDG 51,1987,PdE,General Dynamics,Northrop Grumman,Ships and Submarines,0,,,16723.8,23,727.122,73394.4,95,772.573,15745.3,23,684.578,69514.9,95,731.736
2019-12-31,Navy,E-2D AHE,2009,PdE,Northrop Grumman,,Aircraft,0,,,17468.6,75,232.915,21897.2,86,254.619,13281.9,70,189.741,14832.9,81,183.122
2019-12-31,Navy,ESB,2011,PdE,General Dynamics,,Ships and Submarines,0,,,4528.9,8,566.112,3939.1,7,562.729,4416.9,8,552.112,3827.2,7,546.743
2019-12-31,Navy,G/ATOR,2012,DE,Northrop Grumman,,"Electronics, Comms, and Sensors",0,,,2987.3,57,52.409,2795,45,62.111,2103.1,57,36.896,1720.3,45,38.229
